Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_income
LP001349,1,0,0,1,0,360.0,1.0,1,1,5.017279836814924,8649.0
LP001357,1,1,0,1,0,360.0,1.0,2,1,5.075173815233827,4570.0
LP001367,1,1,1,1,0,360.0,1.0,2,1,4.605170185988092,4082.0
LP001369,1,1,2,1,0,360.0,1.0,2,1,5.41610040220442,12543.0
LP001384,1,1,3,0,0,480.0,1.0,1,1,4.543294782270004,2825.0
LP001385,1,0,0,1,0,360.0,1.0,2,1,4.912654885736052,5316.0
LP001387,0,1,0,1,0,360.0,1.0,1,1,4.9344739331306915,5262.0
LP001398,1,0,0,1,0,360.0,1.0,1,1,4.770684624465665,5050.0
LP001401,1,1,1,1,0,180.0,1.0,0,1,5.220355825078324,14583.0
LP001404,0,1,0,1,0,360.0,1.0,1,1,5.0369526024136295,5450.0
LP001405,1,1,1,1,0,360.0,1.0,2,1,4.442651256490317,3612.0
LP001422,0,0,0,1,0,360.0,1.0,2,1,5.556828061699537,10408.0
LP001426,1,1,0,1,0,360.0,1.0,0,1,5.19295685089021,8334.0
LP001430,0,0,0,1,0,360.0,1.0,1,1,3.784189633918261,4166.0
LP001431,0,0,0,1,0,360.0,0.0,1,1,4.919980925828125,11117.0
LP001432,1,1,2,1,0,360.0,1.0,1,1,4.394449154672439,2957.0
LP001439,1,1,0,0,0,360.0,1.0,0,1,5.267858159063328,6314.0
LP001443,0,0,0,1,0,360.0,1.0,0,1,4.532599493153256,3692.0
LP001473,1,0,0,1,0,360.0,1.0,2,1,4.30406509320417,3943.0
LP001478,1,0,0,1,0,360.0,1.0,1,1,4.248495242049359,2718.0
LP001482,1,1,0,1,1,120.0,1.0,1,1,3.2188758248682006,3459.0
LP001487,1,0,0,1,0,360.0,1.0,1,1,4.624972813284271,4895.0
LP001491,1,1,2,1,1,360.0,1.0,2,1,4.477336814478207,6816.0
LP001498,1,0,0,1,0,360.0,1.0,2,1,5.123963979403259,5417.0
LP001504,1,0,0,1,1,180.0,1.0,1,1,5.1647859739235145,6950.0
LP001507,1,1,0,1,0,360.0,1.0,1,1,4.804021044733257,4732.0
LP001508,1,1,2,1,0,180.0,1.0,2,1,5.231108616854587,11757.0
LP001514,0,1,0,1,0,360.0,1.0,1,1,4.605170185988092,6816.0
LP001516,0,1,2,1,0,360.0,1.0,2,1,4.248495242049359,14866.0
LP001518,1,1,1,1,0,360.0,1.0,2,1,3.4011973816621555,2963.0
LP001520,1,1,0,1,0,360.0,1.0,1,1,4.8283137373023015,5690.0
LP001529,1,1,0,1,1,360.0,1.0,0,1,5.0238805208462765,6327.0
LP001535,1,0,0,1,0,360.0,1.0,2,1,3.912023005428146,3254.0
LP001541,1,1,1,1,0,360.0,1.0,0,1,5.075173815233827,6000.0
LP001543,1,1,1,1,0,360.0,1.0,2,1,5.231108616854587,9538.0
LP001546,1,0,0,1,0,360.0,1.0,0,1,4.787491742782046,5063.0
LP001552,1,1,0,1,0,360.0,1.0,1,1,5.541263545158426,10208.0
LP001560,1,1,0,0,0,360.0,1.0,1,1,4.584967478670572,2904.0
LP001570,1,1,2,1,0,360.0,1.0,0,1,5.062595033026967,5614.0
LP001572,1,1,0,1,0,180.0,1.0,2,1,4.31748811353631,9323.0
LP001574,1,1,0,1,0,360.0,1.0,0,1,5.204006687076795,6873.0
LP001578,1,1,0,1,0,360.0,1.0,0,1,4.859812404361672,5772.0
LP001580,1,1,2,1,0,360.0,1.0,1,1,5.298317366548036,8000.0
LP001581,1,1,0,0,0,360.0,1.0,0,1,4.553876891600541,3589.0
LP001594,1,1,0,1,0,360.0,1.0,1,1,5.231108616854587,11333.0
LP001606,1,1,0,1,0,360.0,1.0,0,1,4.7535901911063645,5461.0
LP001608,1,1,2,1,0,360.0,1.0,0,1,4.61512051684126,3664.0
LP001616,1,1,1,1,0,360.0,1.0,1,1,4.7535901911063645,3750.0
LP001636,1,1,0,1,0,180.0,1.0,1,1,4.290459441148391,4600.0
LP001639,0,1,0,1,0,360.0,1.0,1,1,4.68213122712422,3625.0
LP001643,1,1,0,1,0,360.0,1.0,0,1,4.060443010546419,4521.0
LP001644,1,1,0,1,1,360.0,1.0,0,1,5.123963979403259,5970.0
LP001647,1,1,0,1,0,180.0,1.0,0,1,5.236441962829949,9328.0
LP001653,1,0,0,0,0,360.0,1.0,0,1,3.871201010907891,4885.0
LP001658,1,0,0,1,0,360.0,1.0,1,1,4.330733340286331,3858.0
LP001664,1,0,0,1,0,360.0,1.0,0,1,4.787491742782046,4191.0
LP001666,1,0,0,1,0,360.0,1.0,0,1,5.231108616854587,12083.0
LP001669,0,0,0,0,0,360.0,1.0,2,1,4.787491742782046,4272.0
LP001671,0,1,0,1,0,360.0,1.0,1,1,4.727387818712341,6232.0
LP001674,1,1,1,0,0,360.0,1.0,1,1,4.499809670330265,5100.0
LP001677,1,0,2,1,0,360.0,0.0,1,1,5.111987788356544,4923.0
LP001688,1,1,1,0,0,360.0,1.0,2,1,4.90527477843843,4583.0
LP001691,1,1,2,0,0,360.0,1.0,1,1,4.820281565605037,3917.0
LP001692,0,0,0,0,0,360.0,1.0,1,1,4.787491742782046,4408.0
LP001693,0,0,0,1,0,360.0,1.0,2,1,4.382026634673881,3244.0
LP001698,1,0,0,0,0,360.0,1.0,0,1,4.007333185232471,6506.0
LP001699,1,0,0,1,0,360.0,1.0,2,1,4.07753744390572,2479.0
LP001713,1,1,1,1,1,360.0,1.0,2,1,5.480638923341991,7787.0
LP001715,1,1,3,0,1,360.0,1.0,0,1,4.867534450455582,5703.0
LP001716,1,1,0,1,0,360.0,1.0,2,1,4.919980925828125,6194.0
LP001720,1,1,3,0,0,360.0,1.0,1,1,4.605170185988092,4833.0
LP001726,1,1,0,1,0,360.0,1.0,1,1,4.875197323201151,5502.0
LP001734,0,1,2,1,0,360.0,1.0,1,1,4.844187086458591,6666.0
LP001743,1,1,2,1,0,360.0,1.0,1,1,4.7535901911063645,5726.0
LP001744,1,0,0,1,0,360.0,1.0,1,1,4.969813299576001,5762.0
LP001749,1,1,0,1,0,360.0,1.0,1,1,5.1647859739235145,8588.0
LP001750,1,1,0,1,0,360.0,1.0,1,1,4.852030263919617,6250.0
LP001758,1,1,2,1,0,360.0,1.0,1,1,5.3471075307174685,7945.0
LP001760,1,1,0,1,0,480.0,1.0,1,1,5.062595033026967,4758.0
LP001761,1,0,0,1,1,360.0,1.0,0,1,5.298317366548036,6400.0
LP001765,1,1,1,1,0,360.0,1.0,1,1,4.6443908991413725,4545.0
LP001768,1,1,0,1,0,180.0,1.0,0,1,3.7376696182833684,3716.0
LP001770,1,0,0,0,0,360.0,1.0,0,1,4.787491742782046,5787.0
LP001776,0,0,0,1,0,360.0,1.0,1,1,5.634789603169249,8333.0
LP001778,1,1,1,1,0,360.0,1.0,1,1,4.941642422609304,4934.0
LP001784,1,1,1,1,0,360.0,1.0,0,1,5.135798437050262,6760.0
LP001788,0,0,0,1,1,360.0,1.0,2,1,4.804021044733257,3463.0
LP001790,0,0,1,1,0,360.0,1.0,0,1,4.718498871295094,3812.0
LP001792,1,1,1,1,0,360.0,1.0,1,1,4.564348191467836,3315.0
LP001798,1,1,2,1,0,360.0,1.0,0,1,4.787491742782046,10819.0
LP001806,1,0,0,1,0,60.0,1.0,2,1,5.043425116919247,8666.0
LP001807,1,1,2,1,1,360.0,1.0,0,1,4.68213122712422,7550.0
LP001811,1,1,0,0,0,360.0,1.0,1,1,4.812184355372417,7823.0
LP001814,1,1,2,1,0,360.0,1.0,2,1,4.718498871295094,9703.0
LP001819,1,1,1,0,0,180.0,1.0,2,1,4.919980925828125,6608.0
LP001824,1,1,1,1,0,480.0,1.0,1,1,4.812184355372417,4725.0
LP001825,1,1,0,1,0,360.0,1.0,2,1,4.499809670330265,3677.0
LP001841,1,0,0,0,1,360.0,1.0,0,1,4.6443908991413725,4750.0
LP001843,1,1,1,0,0,180.0,1.0,1,1,5.631211781821365,9762.0
LP001846,0,0,3,1,0,360.0,1.0,0,1,5.541263545158426,3083.0
LP001865,1,1,1,1,0,360.0,1.0,2,1,5.799092654460526,10333.0
LP001868,1,0,0,1,0,360.0,1.0,1,1,4.897839799950911,4269.0
LP001871,0,0,0,1,0,360.0,1.0,0,1,4.787491742782046,7200.0
LP001872,1,0,0,1,1,360.0,1.0,1,1,4.852030263919617,5166.0
LP001875,1,0,0,1,0,360.0,1.0,0,1,5.017279836814924,7542.0
LP001877,1,1,2,1,0,360.0,1.0,1,1,5.0106352940962555,6095.0
LP001882,1,1,3,1,0,360.0,0.0,2,1,5.075173815233827,6144.0
LP001884,0,0,1,1,0,360.0,1.0,2,1,4.499809670330265,4436.0
LP001888,0,0,0,1,0,360.0,1.0,2,1,3.4011973816621555,3237.0
LP001891,1,1,0,1,0,360.0,1.0,2,1,4.912654885736052,11146.0
LP001892,1,0,0,1,0,360.0,1.0,0,1,4.836281906951478,4690.0
LP001894,1,1,0,1,0,360.0,1.0,1,1,5.0106352940962555,4843.0
LP001896,1,1,2,1,0,360.0,1.0,1,1,4.499809670330265,3900.0
LP001900,1,1,1,1,0,360.0,1.0,1,1,4.74493212836325,4592.0
LP001903,1,1,0,1,0,360.0,1.0,1,1,5.332718793265369,7267.0
LP001904,1,1,0,1,0,360.0,1.0,2,1,4.382026634673881,4403.0
LP001908,0,1,0,0,0,360.0,1.0,0,1,4.820281565605037,4100.0
LP001914,1,1,0,1,0,360.0,1.0,1,1,4.718498871295094,4727.0
LP001915,1,1,2,1,0,180.0,1.0,2,1,4.356708826689592,3286.7999878
LP001917,0,0,0,1,0,360.0,1.0,2,1,3.9889840465642745,3477.0
LP001924,1,0,0,1,0,360.0,1.0,0,1,4.48863636973214,6211.0
LP001926,1,1,0,1,0,360.0,1.0,0,1,4.787491742782046,5704.0
LP001931,0,0,0,1,0,360.0,1.0,1,1,4.74493212836325,4124.0
LP001935,1,0,0,1,0,360.0,1.0,0,1,5.231108616854587,9508.0
LP001936,1,1,0,1,0,360.0,1.0,0,1,4.9344739331306915,5491.0
LP001940,1,1,2,1,0,360.0,1.0,2,1,4.897839799950911,4713.0
LP001947,1,1,0,1,0,360.0,1.0,1,1,5.147494476813453,5717.0
LP001949,1,1,3,1,0,360.0,1.0,2,1,4.700480365792417,5666.0
LP001953,1,1,1,1,0,360.0,1.0,1,1,5.298317366548036,6875.0
LP001954,0,1,1,1,0,360.0,1.0,2,1,4.90527477843843,4666.0
LP001972,1,1,0,0,0,360.0,1.0,1,1,4.653960350157523,4625.0
LP001974,0,0,0,1,0,360.0,1.0,0,1,4.882801922586371,5000.0
LP001977,1,1,1,1,0,360.0,1.0,2,1,4.564348191467836,3428.0
LP001978,1,0,0,1,0,360.0,1.0,0,1,4.941642422609304,6500.0
LP001993,0,0,0,1,0,360.0,1.0,0,1,4.90527477843843,5428.0
LP001998,1,1,2,0,0,360.0,1.0,0,1,5.220355825078324,7667.0
LP002002,0,0,0,1,0,360.0,1.0,1,1,4.430816798843313,2917.0
LP002004,1,0,0,0,0,360.0,1.0,1,1,4.709530201312334,5332.0
LP002006,0,0,0,1,0,360.0,1.0,0,1,4.02535169073515,2507.0
LP002008,1,1,2,1,1,84.0,1.0,0,1,4.969813299576001,5746.0
LP002031,1,1,1,0,0,180.0,1.0,2,1,4.709530201312334,5039.0
LP002035,1,1,2,1,0,360.0,1.0,1,1,4.787491742782046,3717.0
LP002036,1,1,0,1,0,360.0,1.0,2,1,4.477336814478207,4192.0
LP002043,0,0,1,1,0,360.0,1.0,1,1,4.718498871295094,3541.0
LP002051,1,1,0,1,0,360.0,1.0,1,1,4.74493212836325,4567.0
LP002053,1,1,3,1,0,360.0,1.0,1,1,4.820281565605037,4531.0
LP002055,0,0,0,1,0,360.0,1.0,0,1,4.882801922586371,6151.0
LP002065,1,1,3,1,0,360.0,1.0,0,1,5.703782474656201,15000.0
LP002068,1,0,0,1,0,360.0,0.0,0,1,4.867534450455582,4917.0
LP002082,1,1,0,1,1,360.0,1.0,1,1,5.214935757608986,7978.0
LP002087,0,0,0,1,0,360.0,1.0,2,1,4.204692619390966,2500.0
LP002097,1,0,1,1,0,360.0,1.0,2,1,4.762173934797756,6177.0
LP002098,1,0,0,1,0,360.0,1.0,1,1,4.584967478670572,2935.0
LP002100,1,0,0,1,0,360.0,1.0,2,1,4.2626798770413155,2833.0
LP002103,1,1,1,1,1,180.0,1.0,2,1,5.204006687076795,11666.0
LP002106,1,1,0,1,1,360.0,1.0,1,1,4.248495242049359,9993.0
LP002110,1,1,1,1,0,360.0,1.0,0,1,5.075173815233827,5938.0
LP002112,1,1,2,1,1,360.0,1.0,0,1,5.170483995038151,7100.0
LP002114,0,0,0,1,0,360.0,1.0,1,1,4.2626798770413155,4160.0
LP002119,1,1,1,0,0,360.0,1.0,2,1,5.062595033026967,5783.0
LP002126,1,1,3,0,0,360.0,1.0,1,1,4.30406509320417,3173.0
LP002128,1,1,2,1,0,360.0,1.0,0,1,4.8283137373023015,4913.0
LP002129,1,1,0,1,0,360.0,1.0,1,1,5.075173815233827,4957.0
LP002131,1,1,2,0,0,360.0,1.0,2,1,4.836281906951478,5251.0
LP002137,1,1,0,1,0,360.0,1.0,1,1,5.556828061699537,10916.0
LP002138,1,1,0,1,0,360.0,1.0,0,1,5.231108616854587,8875.0
LP002139,1,1,0,1,0,360.0,1.0,1,1,5.429345628954441,9083.0
LP002141,1,1,3,1,0,360.0,1.0,0,1,4.553876891600541,4749.0
LP002143,0,1,0,1,0,360.0,1.0,1,1,4.867534450455582,2928.0
LP002144,0,0,0,1,0,180.0,1.0,2,1,4.7535901911063645,3813.0
LP002149,1,1,2,1,0,360.0,1.0,0,1,5.10594547390058,11500.0
LP002160,1,1,3,1,0,360.0,1.0,1,1,5.298317366548036,8334.0
LP002170,1,1,2,1,0,360.0,1.0,1,1,5.4638318050256105,8667.0
LP002175,1,1,0,1,0,360.0,1.0,2,1,4.867534450455582,7083.0
LP002178,1,1,0,1,0,300.0,1.0,2,1,4.553876891600541,6046.0
LP002180,1,0,0,1,1,360.0,1.0,0,1,4.948759890378168,6822.0
LP002190,1,1,1,1,0,360.0,1.0,1,1,5.1647859739235145,6325.0
LP002197,1,1,2,1,0,360.0,1.0,1,1,5.043425116919247,5185.0
LP002201,1,1,2,1,1,300.0,1.0,0,1,5.940171252720432,17196.0
LP002209,0,0,0,1,0,360.0,1.0,2,1,4.700480365792417,4223.0
LP002211,1,1,0,1,0,180.0,1.0,2,1,4.787491742782046,5740.0
LP002219,1,1,3,1,0,360.0,1.0,0,1,4.867534450455582,13746.0
LP002223,1,1,0,1,0,360.0,1.0,1,1,4.867534450455582,4310.0
LP002225,1,1,2,1,0,360.0,1.0,2,1,4.867534450455582,5391.0
LP002226,1,1,0,1,0,360.0,1.0,1,1,4.852030263919617,5833.0
LP002229,1,0,0,1,0,360.0,1.0,1,1,5.69035945432406,10173.0
LP002231,0,0,0,1,0,360.0,1.0,2,1,5.049856007249537,6000.0
LP002234,1,0,0,1,1,360.0,1.0,2,1,4.852030263919617,7167.0
LP002237,1,0,1,1,0,180.0,1.0,2,1,4.727387818712341,3667.0
LP002239,1,0,0,0,0,360.0,1.0,1,1,4.882801922586371,3946.0
LP002244,1,1,0,1,0,360.0,1.0,2,1,4.912654885736052,4750.0
LP002250,1,1,0,1,0,360.0,1.0,0,1,4.8283137373023015,5488.0
LP002255,1,0,3,1,0,360.0,1.0,0,1,5.220355825078324,9167.0
LP002262,1,1,3,1,0,360.0,1.0,0,1,5.616771097666572,9504.0
LP002263,1,1,0,1,0,360.0,1.0,2,1,4.787491742782046,4698.0
LP002265,1,1,2,0,0,180.0,1.0,1,1,4.727387818712341,3618.0
LP002266,1,1,2,1,0,360.0,1.0,2,1,4.727387818712341,4500.0
LP002272,1,1,2,1,0,360.0,1.0,1,1,4.90527477843843,3760.0
LP002281,1,1,0,1,0,360.0,1.0,2,1,4.553876891600541,4492.0
LP002284,1,0,0,0,0,360.0,1.0,0,1,4.6913478822291435,5568.0
LP002300,0,0,0,0,0,360.0,1.0,1,1,3.970291913552122,1963.0
LP002305,0,0,0,1,0,360.0,1.0,1,1,4.74493212836325,4547.0
LP002308,1,1,0,0,0,360.0,1.0,2,1,4.74493212836325,4567.0
LP002314,0,0,0,0,0,360.0,1.0,0,1,4.189654742026425,2213.0
LP002319,1,1,0,1,0,360.0,1.0,2,1,5.075173815233827,6256.0
LP002332,1,1,0,0,0,360.0,1.0,0,1,4.700480365792417,4286.0
LP002337,0,0,0,1,0,360.0,1.0,2,1,4.0943445622221,2995.0
LP002345,1,1,0,1,0,360.0,1.0,0,1,4.718498871295094,3798.0
LP002347,1,1,0,1,0,360.0,1.0,1,1,4.927253685157205,4663.0
LP002348,1,1,0,1,0,360.0,1.0,0,1,4.927253685157205,5829.0
LP002361,1,1,0,1,0,360.0,1.0,2,1,4.605170185988092,3539.0
LP002364,1,1,0,1,0,360.0,1.0,1,1,4.564348191467836,14880.0
LP002366,1,1,0,1,0,360.0,1.0,0,1,4.795790545596741,6966.0
LP002368,1,1,2,1,0,360.0,1.0,1,1,4.890349128221754,5935.0
LP002369,1,1,0,1,0,360.0,1.0,0,1,4.465908118654584,2936.12000084
LP002370,1,0,0,0,0,180.0,1.0,2,1,4.0943445622221,2717.0
LP002377,0,0,1,1,1,360.0,1.0,1,1,5.0106352940962555,8624.0
LP002386,1,0,0,1,0,360.0,1.0,1,1,6.003887067106539,12876.0
LP002387,1,1,0,1,0,360.0,1.0,1,1,4.962844630259907,4765.0
LP002390,1,0,0,1,0,360.0,1.0,2,1,4.605170185988092,3750.0
LP002398,1,0,0,1,0,360.0,1.0,1,1,3.912023005428146,3777.0
LP002407,0,1,0,0,1,360.0,1.0,0,1,4.927253685157205,7142.0
LP002408,1,0,0,1,0,360.0,1.0,1,1,5.231108616854587,8724.0
LP002409,1,1,0,1,0,360.0,1.0,0,1,5.19295685089021,9734.0
LP002418,1,0,3,0,0,360.0,1.0,1,1,4.997212273764115,6700.0
LP002424,1,1,0,1,0,300.0,1.0,0,1,5.1647859739235145,15666.0
LP002429,1,1,1,1,1,360.0,1.0,0,1,4.867534450455582,4676.0
LP002434,1,1,2,0,0,360.0,1.0,0,1,4.700480365792417,4652.0
LP002447,1,1,2,0,0,300.0,1.0,2,1,4.0943445622221,3414.0
LP002449,1,1,0,1,0,180.0,0.0,0,1,4.499809670330265,4949.0
LP002453,1,0,0,1,1,360.0,1.0,1,1,4.430816798843313,7085.0
LP002455,1,1,2,1,0,360.0,1.0,1,1,4.564348191467836,3859.0
LP002459,1,1,0,1,0,360.0,1.0,2,1,4.770684624465665,4301.0
LP002472,1,0,2,1,0,360.0,1.0,0,1,4.912654885736052,4354.0
LP002478,1,1,0,1,1,360.0,1.0,1,1,5.075173815233827,6166.0
LP002484,1,1,3,1,0,180.0,1.0,2,1,4.852030263919617,7740.0
LP002487,1,1,0,1,0,360.0,1.0,0,1,5.030437921392435,5203.0
LP002489,0,0,1,0,0,360.0,1.0,1,1,4.882801922586371,5191.0
LP002494,1,0,0,1,0,360.0,1.0,0,1,4.941642422609304,6000.0
LP002502,0,1,2,0,0,360.0,1.0,1,1,4.584967478670572,3127.0
LP002515,1,1,1,1,1,360.0,1.0,1,1,5.087596335232384,5529.0
LP002519,1,1,3,1,0,360.0,1.0,1,1,4.605170185988092,4691.0
LP002522,0,0,0,1,1,360.0,1.0,2,1,4.532599493153256,2500.0
LP002524,1,0,2,1,0,360.0,1.0,0,1,5.087596335232384,10180.0
LP002529,1,1,2,1,0,300.0,1.0,1,1,5.438079308923196,8450.0
LP002534,0,0,0,0,0,360.0,1.0,0,1,5.0369526024136295,4350.0
LP002536,1,1,3,0,0,360.0,1.0,0,1,4.727387818712341,3095.0
LP002537,1,1,0,1,0,360.0,1.0,1,1,4.852030263919617,5233.0
LP002541,1,1,0,1,0,360.0,1.0,1,1,5.455321115357702,10833.0
LP002543,1,1,2,1,0,360.0,1.0,1,1,5.5053315359323625,8333.0
LP002544,1,1,1,0,0,360.0,1.0,0,1,4.875197323201151,4394.0
LP002555,1,1,2,1,1,360.0,1.0,1,1,5.075173815233827,6666.0
LP002560,1,0,0,0,0,360.0,1.0,1,1,4.564348191467836,5484.0
LP002562,1,1,1,0,0,360.0,1.0,2,1,5.225746673713202,6464.0
LP002571,1,0,0,0,0,360.0,1.0,0,1,4.700480365792417,3691.0
LP002586,0,1,1,1,0,84.0,1.0,1,1,4.653960350157523,4239.0
LP002587,1,1,0,0,0,360.0,1.0,0,1,4.672828834461906,4300.0
LP002588,1,1,0,1,0,12.0,1.0,2,1,4.709530201312334,7482.0
LP002600,1,1,1,1,1,360.0,1.0,1,1,4.553876891600541,2895.0
LP002603,0,0,0,1,0,480.0,1.0,0,1,4.727387818712341,4328.0
LP002606,0,0,0,1,0,360.0,1.0,1,1,4.605170185988092,3159.0
LP002615,1,1,2,1,0,360.0,1.0,1,1,5.337538079701318,10489.0
LP002619,1,1,0,0,0,300.0,1.0,1,1,4.820281565605037,5297.0
LP002622,1,1,2,1,0,360.0,1.0,0,1,5.493061443340548,7926.0
LP002626,1,1,0,1,1,360.0,1.0,2,1,5.236441962829949,5492.0
LP002634,0,0,1,1,0,360.0,1.0,2,1,3.6888794541139363,13262.0
LP002640,1,1,1,1,0,360.0,1.0,1,1,5.521460917862246,8069.0
LP002643,1,1,2,1,0,360.0,1.0,2,1,4.997212273764115,5318.0
LP002659,1,1,3,1,0,360.0,1.0,0,1,5.0106352940962555,6894.0
LP002670,0,1,2,1,0,480.0,1.0,1,1,4.727387818712341,3663.0
LP002689,1,1,2,0,0,360.0,1.0,1,1,3.8066624897703196,3934.0
LP002690,1,0,0,1,0,360.0,1.0,1,1,4.007333185232471,2500.0
LP002692,1,1,3,1,1,360.0,1.0,0,1,4.605170185988092,7101.0
LP002705,1,1,0,1,0,360.0,1.0,1,1,4.700480365792417,3775.0
LP002706,1,1,1,0,0,360.0,0.0,1,1,5.081404364984463,6715.0
LP002714,1,0,1,0,0,360.0,1.0,1,1,4.543294782270004,3981.0
LP002716,1,0,0,0,0,360.0,1.0,1,1,4.867534450455582,6783.0
LP002717,1,1,0,1,0,360.0,1.0,0,1,5.375278407684165,6525.0
LP002720,1,1,3,1,0,360.0,1.0,2,1,4.605170185988092,4281.0
LP002732,1,0,0,0,0,360.0,1.0,0,1,4.836281906951478,4592.0
LP002734,1,1,0,1,0,360.0,1.0,2,1,5.780743515792329,10039.0
LP002738,1,0,2,1,0,360.0,1.0,1,1,4.672828834461906,3617.0
LP002740,1,1,3,1,0,180.0,1.0,0,1,5.056245805348308,6417.0
